product_category_name,nombre_categoría_producto_ español
beleza_saude,belleza_salud
informatica_acessorios,accesorios_informáticos
automotivo,auto
cama_mesa_banho,cama_mesa_baño
moveis_decoracao,muebles_decoración
esporte_lazer,deporte_ocio
perfumaria,perfumería
utilidades_domesticas,electrodomésticos
telefonia,telefonía
relogios_presentes,relojes_regalos
alimentos_bebidas,alimentación_bebidas
bebes,bebé
papelaria,papelería
tablets_impressao_imagem,tablets_impresión_imágenes
brinquedos,juguetes
telefonia_fixa,teléfono_fijo
ferramentas_jardim,herramientas_jardín
fashion_bolsas_e_acessorios,moda_bolsos_y_accesorios
eletroportateis,electrodomésticos
consoles_games,consola_juegos
audio,audio
fashion_calcados,moda_calzado
cool stuff,cosas interesantes
malas_acessorios,accesorios_bolsas
climatizacao,aire acondicionado
construcao_ferramentas_construcao,herramientas_construcción
moveis_cozinha_area_de_servico_jantar_e_jardim,muebles_cocina_comedor_y_jardin
construcao_ferramentas_jardim,herramientas_construccion_jardin
fashion_roupa_masculina,moda_vestimenta_masculina
pet_shop,tienda_mascotas
moveis_escritorio,muebles_de_oficina
market_place,mercado
eletronicos,electrónica
eletrodomesticos,electrodomésticos
artigos_de_festas,artículos_fiesta
casa_conforto,confort_casa
construcao_ferramentas_ferramentas,herramientas_de_construcción
agro_industria_e_comercio,agro_industria_y_comercio
moveis_colchao_e_estofado,muebles_ropa_de_cama_y_tapizados
livros_tecnicos,libros_tecnicos
casa_construcao,construcción_del_hogar
instrumentos_musicais,instrumentos_musicales
moveis_sala,muebles_de_sala
construcao_ferramentas_iluminacao,herramientas_de_construcción_iluminación
industria_comercio_e_negocios,industria_comercio_y_negocios
alimentos,alimentación
artes,arte
moveis_quarto,muebles_de_dormitorio
livros_interesse_geral,libros_de_interés_general
construcao_ferramentas_seguranca,construcción_herramientas_de_seguridad
fashion_underwear_e_moda_praia,moda_interior_y_de_playa
fashion_esporte,moda_deportiva
sinalizacao_e_seguranca,señalización_y_seguridad
pcs,pcs
artigos_de_natal,artículos_navideños
fashion_roupa_feminina,moda_femenina_ropa
eletrodomesticos_2,electrodomésticos_2
livros_importados,libros_importados
bebidas,bebidas
cine_foto,cine_foto
la_cuisine,cocina
musica,música
casa_conforto_2,hogar_confort_2
portateis_casa_forno_e_cafe,horno_casero_portátil_y_café
cds_dvds_musicais,música_dvds
dvds_blu_ray,dvds_blu_ray
flores,flores
artes_e_artesanato,manualidades
fraldas_higiene,pañales_higiene
fashion_roupa_infanto_juvenil,moda_para_niños
seguros_e_servicos,seguros_y_servicios
